demoName,roundIdx,tick,seconds,bombPlanted,tFreezeTimeEndEqVal,tRoundSpendMoney,roundNum,isWarmup,winningSide,losingTeam,tRoundStartEqVal,tactic_used,t0_x,t0_y,t0_z,t0_hp,t0_armor,t0_activeWeapon,t0_totalUtility,t0_isAlive,t0_isDefusing,t0_isPlanting,t0_isReloading,t0_isInBombZone,t0_isInBuyZone,t0_equipmentValue,t0_hasHelmet,t0_hasDefuse,t0_hasBomb,t0_areaId,t1_x,t1_y,t1_z,t1_hp,t1_armor,t1_activeWeapon,t1_totalUtility,t1_isAlive,t1_isDefusing,t1_isPlanting,t1_isReloading,t1_isInBombZone,t1_isInBuyZone,t1_equipmentValue,t1_hasHelmet,t1_hasDefuse,t1_hasBomb,t1_areaId,t2_x,t2_y,t2_z,t2_hp,t2_armor,t2_activeWeapon,t2_totalUtility,t2_isAlive,t2_isDefusing,t2_isPlanting,t2_isReloading,t2_isInBombZone,t2_isInBuyZone,t2_equipmentValue,t2_hasHelmet,t2_hasDefuse,t2_hasBomb,t2_areaId,t3_x,t3_y,t3_z,t3_hp,t3_armor,t3_activeWeapon,t3_totalUtility,t3_isAlive,t3_isDefusing,t3_isPlanting,t3_isReloading,t3_isInBombZone,t3_isInBuyZone,t3_equipmentValue,t3_hasHelmet,t3_hasDefuse,t3_hasBomb,t3_areaId,t4_x,t4_y,t4_z,t4_hp,t4_armor,t4_activeWeapon,t4_totalUtility,t4_isAlive,t4_isDefusing,t4_isPlanting,t4_isReloading,t4_isInBombZone,t4_isInBuyZone,t4_equipmentValue,t4_hasHelmet,t4_hasDefuse,t4_hasBomb,t4_areaId,dist01,dist02,dist03,dist04,dist06,dist07,dist08,dist10,dist12,dist13,dist14,dist16,dist17,dist18,dist20,dist21,dist23,dist24,dist26,dist27,dist28,dist30,dist31,dist32,dist34,dist36,dist37,dist38,dist40,dist41,dist42,dist43,dist46,dist47,dist48,dist60,dist61,dist62,dist63,dist64,dist67,dist68
00e7fec9-cee0-430f-80f4-6b50443ceacd,9,139008,0.3464566929133858,False,26950,26150,10,False,CT,FaZe Clan,1000,t_rush_a_long,-387.29510498046875,-818.0824584960938,87.50927734375,100,100,5,3,True,False,False,False,False,True,5000,True,False,False,1976,-713.12744140625,-831.9158935546875,116.96780395507812,100,100,5,3,True,False,False,False,False,True,5000,True,False,True,6992,-445.8869323730469,-808.291015625,99.40055847167969,100,100,5,3,True,False,False,False,False,True,5000,True,False,False,1976,-288.6941223144531,-733.9413452148438,72.10454559326172,100,100,5,3,True,False,False,False,False,False,4800,True,False,False,8577,-932.533203125,-749.0317993164062,120.27775573730469,100,100,5,3,True,False,False,False,False,True,7150,True,False,False,8123,229.9497941517276,0,266.6524061757085,543.8103067361988,229.9497941517276,4578.393639314391,4356.23270363763,229.9497941517276,229.9497941517276,459.09332917346495,313.86051258447117,0,4807.431710042413,4126.282909485903,0,229.9497941517276,266.6524061757085,543.8103067361988,229.9497941517276,4578.393639314391,4356.23270363763,266.6524061757085,459.09332917346495,266.6524061757085,693.8782770756137,459.09332917346495,4348.338380868949,4506.300673977044,543.8103067361988,313.86051258447117,543.8103067361988,693.8782770756137,313.86051258447117,5042.216657944562,3812.422396901431,229.9497941517276,0,229.9497941517276,459.09332917346495,313.86051258447117,4807.431710042413,4126.282909485903
00e7fec9-cee0-430f-80f4-6b50443ceacd,9,139072,0.8503937007874016,False,26950,26150,10,False,CT,FaZe Clan,1000,t_rush_a_long,-279.3918762207031,-766.0704345703125,64.50163269042969,100,100,5,3,True,False,False,False,False,False,5000,True,False,False,1972,-591.2314453125,-820.9432373046875,113.96533966064453,100,100,5,3,True,False,False,False,False,True,5000,True,False,True,2183,-328.98046875,-793.0150146484375,75.33885955810547,100,100,5,3,True,False,False,False,False,True,5000,True,False,False,8971,-177.4940185546875,-683.44580078125,64.67115020751953,100,100,5,3,True,False,False,False,False,False,4800,True,False,False,2005,-810.816162109375,-736.2303466796875,122.94155883789062,100,100,5,3,True,False,False,False,False,True,7150,True,False,False,2059,318.4444834063689,176.99040894291576,162.8883397187888,595.82460679105,318.4444834063689,4374.392080447933,4560.234262504088,318.4444834063689,215.4002873825041,481.3328231251577,312.88185524203726,0,4692.836563854302,4241.7897790977195,176.99040894291576,215.4002873825041,284.41328238517247,418.8341978481343,215.4002873825041,4514.033424202063,4410.064582659069,162.8883397187888,481.3328231251577,284.41328238517247,633.788528218168,481.3328231251577,4229.62014181689,4625.018913029103,595.82460679105,312.88185524203726,418.8341978481343,633.788528218168,312.88185524203726,4863.408670035058,3991.2303848109345,318.4444834063689,0,215.4002873825041,481.3328231251577,312.88185524203726,4692.836563854302,4241.7897790977195
00e7fec9-cee0-430f-80f4-6b50443ceacd,9,139136,1.3543307086614174,False,26950,26150,10,False,CT,FaZe Clan,1000,t_rush_a_long,-168.81625366210938,-707.8331298828125,46.66227340698242,100,100,5,3,True,False,False,False,False,False,5000,True,False,False,2005,-466.7976989746094,-809.0662841796875,103.50135040283203,100,100,5,3,True,False,False,False,False,True,5000,True,False,True,1976,-211.7411651611328,-763.5963745117188,47.7974853515625,100,100,15,3,True,False,False,False,False,False,5000,True,False,False,2115,-73.01854705810547,-611.6901245117188,95.35489654541016,100,100,5,3,True,False,False,False,False,False,4800,True,False,False,8812,-686.6940307617188,-721.5181274414062,128.826416015625,100,100,5,3,True,False,False,False,False,True,7150,True,False,False,1978,366.88989858524735,52.96168474459257,129.58718639977505,479.1651247030123,366.88989858524735,4229.62014181689,4625.018913029103,366.88989858524735,332.4089604831737,496.47708498502243,264.0542999692462,0,4578.393639314391,4356.23270363763,52.96168474459257,332.4089604831737,182.54887114436764,426.2034399584197,332.4089604831737,4282.5818265614835,4572.05722828451,129.58718639977505,496.47708498502243,182.54887114436764,608.7523111027873,496.47708498502243,4200.867205966327,4754.606099428877,479.1651247030123,264.0542999692462,426.2034399584197,608.7523111027873,264.0542999692462,4708.7852665199025,4145.853788326091,366.88989858524735,0,332.4089604831737,496.47708498502243,264.0542999692462,4578.393639314391,4356.23270363763
00e7fec9-cee0-430f-80f4-6b50443ceacd,9,139200,1.858267716535433,False,26950,26150,10,False,CT,FaZe Clan,1000,t_rush_a_long,-56.16919708251953,-652.3818969726562,87.41291046142578,100,100,18,3,True,False,False,False,False,False,5000,True,False,False,8812,-340.9377136230469,-792.4921875,78.20899200439453,100,100,5,3,True,False,False,False,False,True,5000,True,False,True,8971,-191.0336456298828,-660.03125,52.40813446044922,100,100,15,3,True,False,False,False,False,False,5000,True,False,False,2005,19.888267517089844,-529.7304077148438,1.5478321313858032,100,100,5,3,True,False,False,False,False,False,4800,True,False,False,7231,-563.7785034179688,-698.8519287109375,126.68390655517578,100,100,5,3,True,False,False,False,False,True,7150,True,False,False,2185,414.00046878494754,129.58718639977505,324.5185190587168,520.3207876492871,414.00046878494754,4200.867205966327,4754.606099428877,414.00046878494754,284.41328238517247,616.7486225800909,175.77927087947825,0,4514.033424202063,4410.064582659069,129.58718639977505,284.41328238517247,332.33534019491844,390.73360124951205,284.41328238517247,4229.62014181689,4625.018913029103,327.3781848077922,640.5444030435282,356.1311206583557,746.8647219078678,640.5444030435282,3897.0229316581667,4617.816717321986,520.3207876492871,175.77927087947825,390.73360124951205,723.0689414444305,175.77927087947825,4620.353743066403,4234.28531177959,414.00046878494754,0,284.41328238517247,616.7486225800909,175.77927087947825,4514.033424202063,4410.064582659069
00e7fec9-cee0-430f-80f4-6b50443ceacd,9,139264,2.3622047244094486,False,26950,26150,10,False,CT,FaZe Clan,1000,t_rush_a_long,26.932233810424805,-549.0863037109375,21.221994400024414,100,100,5,3,True,False,False,False,False,False,5000,True,False,False,7313,-219.78176879882812,-778.4954223632812,48.466278076171875,100,100,5,3,True,False,False,False,False,False,5000,True,False,True,1972,-192.0081329345703,-660.03125,52.65937042236328,100,100,15,3,True,False,False,False,False,False,5000,True,False,False,2005,103.65742492675781,-449.01678466796875,2.682295799255371,100,100,5,3,True,False,False,False,False,False,4800,True,False,False,7288,-460.86090087890625,-626.3701171875,185.1184539794922,100,100,9,3,True,False,False,False,False,True,7150,True,False,False,8966,449.34465028154546,304.572711650503,158.11643206860893,inf,449.34465028154546,3925.0474301663876,4605.523083692199,449.34465028154546,162.8883397187888,607.4610823501544,inf,0,4374.392080447933,4560.234262504088,304.572711650503,162.8883397187888,462.42727375530643,inf,162.8883397187888,4229.62014181689,4625.018913029103,158.11643206860893,607.4610823501544,462.68914371911194,inf,607.4610823501544,3843.514816358048,4747.908650882374,inf,inf,inf,inf,inf,4108.95344840299,4654.071456693231,449.34465028154546,0,162.8883397187888,607.4610823501544,inf,4374.392080447933,4560.234262504088
00e7fec9-cee0-430f-80f4-6b50443ceacd,9,139328,2.8661417322834644,False,26950,26150,10,False,CT,FaZe Clan,1000,t_rush_a_long,102.17855834960938,-468.3064880371094,2.432086944580078,100,100,5,3,True,False,False,False,False,False,5000,True,False,False,7288,-100.03106689453125,-743.963623046875,20.525127410888672,100,100,18,3,True,False,False,False,False,False,5000,True,False,True,8810,-192.0081329345703,-660.03125,52.65937042236328,100,100,15,3,True,False,False,False,False,False,5000,True,False,False,2005,178.22177124023438,-348.72003173828125,0.17972183227539062,100,100,5,3,True,False,False,False,False,False,4800,True,False,False,7774,-484.5896911621094,-561.7057495117188,25.552675247192383,100,100,9,3,True,False,False,False,False,False,7150,True,False,False,1074,423.5196887020036,462.68914371911194,200.0319052620212,644.8633950489086,423.5196887020036,3843.514816358048,4747.908650882374,423.5196887020036,103.90273230483346,599.2109834472428,586.413990730315,0,4190.4506867997825,4728.921645333936,462.42727375530643,103.90273230483346,638.1185685005456,482.5112584254816,103.90273230483346,4229.62014181689,4625.018913029103,200.0319052620212,599.2109834472428,638.3804384643511,820.5546897941477,599.2109834472428,3654.740176477662,4583.2763965995055,644.8633950489086,767.8810844921279,807.0505395092362,820.5546897941477,767.8810844921279,3846.740027678956,4157.031047780121,423.5196887020036,0,103.90273230483346,599.2109834472428,586.413990730315,4190.4506867997825,4728.921645333936
00e7fec9-cee0-430f-80f4-6b50443ceacd,9,139392,3.37007874015748,False,26950,26150,10,False,CT,FaZe Clan,1000,t_rush_a_long,177.0557098388672,-370.7815856933594,0.32668256759643555,100,100,18,3,True,False,False,False,False,False,5000,True,False,False,7774,11.801366806030273,-705.8921508789062,8.485294342041016,100,100,18,3,True,False,False,False,False,False,5000,True,False,True,7229,-189.6250762939453,-656.9672241210938,105.95484161376953,100,100,5,2,True,False,False,False,False,False,5000,True,False,False,8593,250.0636444091797,-246.42764282226562,9.03125,100,100,5,3,True,False,False,False,False,False,4800,True,False,False,7776,-452.6385192871094,-592.72900390625,1.725492238998413,100,100,9,3,True,False,False,False,False,False,7150,True,False,False,1074,446.663770707644,670.5126852455743,100.1010662889944,820.5546897941477,446.663770707644,3654.740176477662,4583.2763965995055,446.663770707644,223.84891453793028,546.7648369966385,615.3338717525291,0,4037.9034740601833,4718.379127585995,569.4165647325573,223.84891453793028,669.5176310215517,498.8618749384094,223.84891453793028,4261.752388598114,4693.7209167970905,100.1010662889944,546.7648369966385,770.6137515345687,920.6557560831423,546.7648369966385,3571.2816536612495,4483.175330310511,820.5546897941477,615.3338717525291,839.1827862904594,920.6557560831423,615.3338717525291,3846.740027678956,4157.031047780121,446.663770707644,0,223.84891453793028,546.7648369966385,615.3338717525291,4037.9034740601833,4718.379127585995
00e7fec9-cee0-430f-80f4-6b50443ceacd,9,139456,3.874015748031496,False,26950,26150,10,False,CT,FaZe Clan,1000,t_rush_a_long,240.1280517578125,-267.6603088378906,9.03125,100,100,18,3,True,False,False,False,False,False,5000,True,False,False,7776,120.25021362304688,-658.5042724609375,-1.3990113735198975,100,100,18,3,True,False,False,False,False,False,5000,True,False,True,7211,-126.8797607421875,-622.3893432617188,69.705078125,100,100,18,2,True,False,False,False,False,False,5000,True,False,False,8812,322.0294494628906,-144.22238159179688,-5.249349594116211,100,100,5,3,True,False,False,False,False,False,4800,True,False,False,8792,-439.8176574707031,-593.8826904296875,1.6871452331542969,100,100,9,3,True,False,False,False,False,False,7150,True,False,False,1074,456.59901075070394,709.7285689027821,115.27097670923254,920.6557560831423,456.59901075070394,3571.2816536612495,4483.175330310511,456.59901075070394,270.1078837499473,530.6193639238214,590.8663153586941,0,3947.7376478142487,4693.9115711921595,709.7285689027821,270.1078837499473,783.7489220758995,559.7470575701961,270.1078837499473,4200.867205966327,4754.606099428877,115.27097670923254,530.6193639238214,783.7489220758995,994.6761092562597,530.6193639238214,3477.7936046148684,4389.6872812641295,920.6557560831423,590.8663153586941,778.2976036586728,994.6761092562597,590.8663153586941,3846.740027678956,4157.031047780121,456.59901075070394,0,270.1078837499473,530.6193639238214,590.8663153586941,3947.7376478142487,4693.9115711921595
00e7fec9-cee0-430f-80f4-6b50443ceacd,9,139520,4.377952755905512,False,26950,26150,10,False,CT,FaZe Clan,1000,t_rush_a_long,309.20367431640625,-168.1796875,-4.635042667388916,100,100,18,3,True,False,False,False,False,False,5000,True,False,False,8792,206.06466674804688,-569.2854614257812,-1.9834195375442505,100,100,18,3,True,False,False,False,False,False,5000,True,False,True,7208,-57.47705078125,-595.7852172851562,64.03125,100,100,5,2,True,False,False,False,False,False,5000,True,False,False,8812,394.14532470703125,-42.12295150756836,-4.225677490234375,100,100,5,3,True,False,False,False,False,False,4800,True,False,False,8840,-442.4820556640625,-593.8496704101562,1.6871452331542969,100,100,9,3,True,False,False,False,False,False,7150,True,False,False,1074,408.16571093122565,783.7489220758995,375.0453647257474,994.6761092562597,408.16571093122565,3477.7936046148684,4389.6872812641295,408.16571093122565,412.66960688277203,722.5357549325323,723.057506002524,0,3825.2839948216533,4797.852992195356,783.7489220758995,412.66960688277203,1098.118966077206,559.7470575701961,412.66960688277203,4200.867205966327,4754.606099428877,375.0453647257474,722.5357549325323,1098.118966077206,1309.0461532575664,722.5357549325323,3102.7482398891207,4327.0957790440325,994.6761092562597,723.057506002524,778.2976036586728,1309.0461532575664,723.057506002524,3846.740027678956,4157.031047780121,408.16571093122565,0,412.66960688277203,722.5357549325323,723.057506002524,3825.2839948216533,4797.852992195356
00e7fec9-cee0-430f-80f4-6b50443ceacd,9,139584,4.881889763779528,False,26950,26150,10,False,CT,FaZe Clan,1000,t_rush_a_long,390.4884033203125,-78.95093536376953,-4.928574085235596,100,100,18,3,True,False,False,False,False,False,5000,True,False,False,8787,281.91827392578125,-473.09808349609375,-0.7613581418991089,100,100,18,3,True,False,False,False,False,False,5000,True,False,True,8794,46.36626434326172,-569.8026123046875,1.3962531089782715,100,100,18,2,True,False,False,False,False,False,5000,True,False,False,7313,467.241455078125,59.274574279785156,-3.863691806793213,100,100,5,3,True,False,False,False,False,False,4800,True,False,False,8840,-443.30780029296875,-593.8385620117188,1.6871452331542969,100,100,9,3,True,False,False,False,False,False,7150,True,False,False,1074,431.2204032287687,695.443916793643,187.53059420806443,1182.1908797739427,431.2204032287687,3290.278834097185,4202.172510746447,431.2204032287687,264.2235135648742,558.0756767123924,750.9704765451739,0,3660.8239166015132,4633.392913975215,695.443916793643,264.2235135648742,822.2991902772667,502.47782785873324,264.2235135648742,3925.0474301663876,4605.523083692199,187.53059420806443,558.0756767123924,822.2991902772667,1309.0461532575664,558.0756767123924,3102.7482398891207,4327.0957790440325,1182.1908797739427,750.9704765451739,502.47782785873324,1309.0461532575664,750.9704765451739,3846.740027678956,4157.031047780121,431.2204032287687,0,264.2235135648742,558.0756767123924,750.9704765451739,3660.8239166015132,4633.392913975215
